店名,地址,电话
家乐福（王府井店）,东城区王府井大街269号院1号楼B1层,010-65283561
世纪华联超市,西城区未英胡同31号（西绒线）,15865133377/18515828989
常常来超市,东城区后永康胡同12号,13810262338
华联超市（鲁谷店）,石景山区鲁谷南路鲁谷新岚大厦15-16楼6号,18210363409/13264056516
世纪华联超市（阜成门店）,西城区西直门南小街玉廊西园11号楼1层107号,13681193142
世纪华联超市（莲水怡园店）,通州区马桥北街236号1层全部,17310704325/18910704325
罗森（超市发苏州街二店）,海淀区海淀苏州街18号院-4楼1层4101-1,010-62527023
华欣超市（安慧里店）,朝阳区安立路亚运村安慧里4区5号楼,010-64919249
华冠超市,房山区韩村河镇鲁班路西小区售楼处,010-80384553
京客隆（扑满山店）,丰台区宋庄路71号扑满山底商1层,010-87653068
福兰德超市,通州区中山大街189号,
运河美隆生活超市（疃里店）,通州区兴旺北路（近疃里一区）,13716277305
华联生活超市,大兴区黄村西大街临甲46,15652565256
罗森（大兴机场四店）,大兴区北京大兴国际机场航站楼一层出发远机位  S-AR01-015B  安检内,010-65186339
华源超市（望京店）,朝阳区利泽东园308号1单元1层116,13391735895
华联生活超市（诚苑小区店）,丰台区诚苑南里2号楼一层底商,15093999777
华联超市,西城区菜市口广安门内大街枫桦豪景6号楼底商农业银行隔壁,15711079616
京客隆（新桥大街店）,门头沟区门头沟新桥大街79-80号（近呷哺呷哺）,010-69861840
华联超市,海淀区双清路18号科学院环化研究中心西侧,
超市（北京市百货大楼店）,东城区王府井大街255号北京市百货大楼B1层,010-85260063/65223388
华联生活超市,西城区月坛南街甲12号万丰怡和商务会馆地下1层,010-68013085
福兰德便利超市,通州区马驹桥镇南小营路小太阳双语幼儿园,010-61589105
物美超市（北洼路二店）,海淀区北洼路32号院底商,
超市发超市,通州区桦秀路201号超市发（荔景园小区北门）,13269969988
物美（卢沟桥店）,丰台区卢沟桥北里2号楼底商,010-83891731
华联超市,房山区长阳路启航国际商务会所附近,13031193935
华联超市（百环家园店）,朝阳区广渠路66号院12号,
华冠超市（中奥嘉园店）,丰台区长兴路中体奥林匹克花园,13466665886
永辉超市（万科时代中心店）,朝阳区十里堡甲3号院甲1号楼,
超市发（永定路店）,海淀区永定路88号,010-59226381
京东便利店（枣园店）,大兴区枣园路枣园小区31号楼240号,13910429988
物美品超市（新燕莎金街广场店）,东城区王府井大街301号新燕莎金街购物广场B2层,010-65283916
超市,海淀区大慧寺路12号,
世纪家家福超市,昌平区北七家镇东沙各庄村,
华联便利超市,房山区北京市良乡东路56号院45幢-1层3阳光邑上南门底商,010-60357559
全家爱超市（东大街店）,东城区崇文门东大街8号楼,18911249182
世纪华联超市,顺义区天竺镇蓝海苑5号楼7单元1层102室,18201149813
超市发（万寿寺店）,海淀区万寿寺北里6号楼1层,
全家爱超市（崇文门店）,东城区崇文门外大街18号,
京东便利店,朝阳区百子湾南二路A派公寓2号楼底商,18511950066/13718146921
物美（洋桥店）,丰台区马家堡东路25号（京华苑小区西北）,010-67222906
华联超市,通州区通燕高速辅路与013县道交叉口旁,010-80543316
华润万家便利超市,西城区大栅栏西街15号,010-63018707
物美超市（双井店）,朝阳区富力城B1,010-67799870
天堂超市（五道口店）,海淀区五道口地铁旁东源大厦3层,18516966904
JAY便利店,西城区西四北大街52号,18500606102/13717768867
7-11（黄寺大街店）,西城区黄寺大街26号院2号楼01-02、01-03,13301131781
物美（金宝街店）,东城区建国门北大街金城建国5号地下一层,
物美超市（燕化星城店）,房山区紫燕中路5号燕鹏星城商厦地上2层,4001016016
多点便利店,丰台区马家堡东路94号,
超市发（前门店）,西城区粮食店街39号02A,010-63014974
华联超市,昌平区沙河镇松兰堡村1号北综合楼,15311759603
京美连锁超市（安慧里店）,朝阳区安慧里四区5号楼,15330277668
美廉美超市（马家堡）,丰台区翠林二里13号楼,
711便利店,丰台区丰桥路7号院,18401240553
千禧清真食品超市,丰台区正阳大街127号,
世纪华联超市（上地店）,海淀区上地六街17号1号楼1层西侧,010-62985269
多点便利店（上地六街店）,海淀区上地六街17号1号楼1F6106B号,15011073844
福兰德便利超市,通州区徐辛庄路,010-89560304
京客隆（丰台花乡店）,丰台区银地家园3、4号楼底商,010-83729197
华联超市,东城区毛家湾胡同甲13号北京站F2,13801228068
京客隆,通州区通燕高速铺路北京胸科医院警务工作室向南80米,010-69520961
阳光超市,东城区南站幸福路烟酒超市北80米,010-58461911
物美便利店（宣武门店）,西城区宣武门东大街8号楼东侧临街商铺,010-83167171
天猫超市,朝阳区大屯路南沙滩66号华源冠军城1号楼1层1-213,13621230191
多点便利店,丰台区西四环南路38号,
绿叶子超市（大兴机场店）,大兴区北京大兴国际机场航站楼国际到达1层S-AR01-010安检外,
便民超市,海淀区中关村东路105号,
超市发（天丰利市场店）,朝阳区和平西街21号天丰利市场1层底商,15313133531
超市,东城区安外东河沿煤炭部宿舍小区内,13691006191/15811287786
